mun,CVEGEO,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Acolman,15002,161,1205,771,179,1,1,42,168,43,37
Almoloya de Juárez,15005,3535,2750,2085,732,413,87,88,224,271,220
Amanalco,15007,1,,,,,,,,,
Amatepec,15008,,,,,,,,,1,
Amecameca,15009,1,1,,,,,,,,1
Apaxco,15010,,1,,,,,,,,
Atenco,15011,,,,,,3,,,,
Atizapán,15012,5,3,1,2,14,9,2,,,
Atizapán de Zaragoza,15013,250,272,308,178,155,244,233,177,211,156
Atlacomulco,15014,292,347,1038,696,3,5,2,7,2,22
Atlautla,15015,1,,,,,,,,,
Ayapango,15017,,,1,,,,,,,
Calimaya,15018,1172,962,419,189,52,96,155,208,205,108
Capulhuac,15019,,,,,1,,4,3,3,2
Chalco,15025,4340,3456,782,447,552,306,328,308,423,366
Chapultepec,15027,,1,,,,,,1,,1
Chiautla,15028,1,1,1,2,,,,,1,2
Chicoloapan,15029,46,35,13,42,18,13,16,35,28,21
Chimalhuacán,15031,6,,,6,1,,,1,,
Coacalco de Berriozábal,15020,289,280,231,203,126,166,540,440,425,205
Coyotepec,15023,,,,1,,,,,,
Cuautitlán,15024,1891,1742,1490,967,140,101,194,344,380,337
Cuautitlán Izcalli,15121,476,613,258,151,119,162,114,139,98,195
Ecatepec de Morelos,15033,205,128,323,279,167,57,198,247,219,160
Huehuetoca,15035,5284,4493,3851,2805,1880,1728,2333,2253,2100,1390
Huixquilucan,15037,139,82,100,126,170,125,159,155,107,125
Ixtapaluca,15039,23,14,3,6,1,6,6,3,4,1
Ixtapan de la Sal,15040,2,1,1,,1,1,3,2,1,
Ixtlahuaca,15042,,1,,,,1,,,,
Jaltenco,15044,4,1,,,,,,,,
Jilotepec,15045,14,21,1,6,9,5,4,2,,
Jilotzingo,15046,,,,,,,,,,1
Jocotitlán,15048,,1,,,,,,,,1
La Paz,15070,7,,6,5,4,6,8,12,14,20
Lerma,15051,713,360,84,253,410,434,464,326,161,54
Malinalco,15052,,2,1,,,,,,1,
Melchor Ocampo,15053,,1,,,,,,1,,113
Metepec,15054,268,281,289,251,156,185,166,127,71,61
Mexicaltzingo,15055,8,3,9,1,12,8,8,11,4,15
Naucalpan de Juárez,15057,105,106,74,96,96,82,75,75,54,57
Nextlalpan,15059,1331,1352,731,651,1574,2601,1363,49,247,310
Nezahualcóyotl,15058,9,19,24,18,17,9,13,25,21,15
Nicolás Romero,15060,542,548,395,962,1216,369,127,77,45,66
Ocoyoacac,15062,56,86,50,23,64,51,13,61,36,24
Otzolotepec,15067,,1,,5,9,11,162,326,461,433
Ozumba,15068,,1,,,,,,,,
Papalotla,15069,,,,,,,1,,,
San Antonio la Isla,15073,1,218,449,261,165,3,1,,,5
San Martín de las Pirámides,15075,2,1,1,1,,,1,,,1
San Mateo Atenco,15076,93,56,91,85,173,108,113,140,114,109
Soyaniquilpan de Juárez,15079,14,,,1,9,11,3,,3,3
Tecámac,15081,4976,4529,4207,1852,1689,1357,1903,2318,2080,2058
Temascalapa,15084,243,104,66,38,21,23,119,127,27,
Temascalcingo,15085,1,,,,,,,,,
Temoaya,15087,836,763,519,137,308,315,442,19,,
Tenancingo,15088,,,,1,,,2,2,3,
Tenango del Valle,15090,10,7,9,5,5,5,4,3,,
Teoloyucan,15091,,1,1,,,,,,,
Tepetlaoxtoc,15093,,,,,1,,,,,
Tepetlixpa,15094,,,1,,,,,,,1
Tepotzotlán,15095,1,,9,1,4,,2,1,1,
Texcoco,15099,24,15,14,3,7,3,61,142,116,16
Tianguistenco,15101,,,,,,,,160,430,428
Tlalmanalco,15103,2,,2,,2,15,65,25,60,52
Tlalnepantla de Baz,15104,309,238,154,244,138,214,127,102,120,177
Tlatlaya,15105,,,,,1,,,,,
Toluca,15106,2050,2110,1685,721,454,438,289,433,508,535
Tonanitla,15125,,,,,,,126,467,182,127
Tultepec,15108,847,895,319,3,96,93,7,4,86,180
Tultitlán,15109,57,54,24,36,47,16,16,17,8,1
Valle de Bravo,15110,1,3,8,1,2,1,3,1,4,1
Valle de Chalco Solidaridad,15122,946,191,,,,,,,,1
Villa del Carbón,15112,3,,,,,,,,,
Xonacatlán,15115,,,,21,170,241,181,169,105,65
Zinacantepec,15118,540,199,165,213,87,43,60,89,207,199
Zumpango,15120,12734,10329,9486,4545,3037,2720,2158,3210,3537,3149
Azcapotzalco,09002,199,244,1021,686,548,1086,716,562,444,350
Benito Juárez,09014,916,808,895,850,858,1083,861,856,808,677
Coyoacán,09003,176,145,138,95,147,156,124,116,176,139
Cuajimalpa de Morelos,09004,85,100,207,84,135,179,106,92,93,164
Cuauhtémoc,09015,697,464,521,437,435,449,352,831,742,709
Gustavo A. Madero,09005,189,225,333,240,207,236,159,143,233,326
Iztacalco,09006,248,291,389,368,588,343,527,648,652,664
Iztapalapa,09007,49,26,44,93,66,193,236,240,165,166
La Magdalena Contreras,09008,20,11,25,24,16,24,27,14,15,18
Miguel Hidalgo,09016,731,602,521,329,383,424,602,358,242,194
Tlalpan,09012,99,100,171,178,252,196,167,138,88,129
Tláhuac,09011,6,73,58,14,51,109,97,33,3,7
Venustiano Carranza,09017,136,177,182,179,186,302,405,399,318,337
Xochimilco,09013,32,10,12,11,13,12,9,16,6,15
Álvaro Obregón,09010,279,472,414,313,272,455,379,396,340,228
Tizayuca,13069,2089,1645,1566,1685,2543,4091,3575,2671,2282,2118
