year,month,prod,reg,verif
2013,1,15219,33749,28272
2013,2,21597,23685,22953
2013,3,24320,19358,18713
2013,4,24045,23950,22706
2013,5,20236,20190,18485
2013,6,19675,17623,16934
2013,7,19767,26331,19902
2013,8,20328,26729,23412
2013,9,16789,20949,16201
2013,10,20316,23929,17070
2013,11,22596,25358,17611
2013,12,23808,43765,22628
2014,1,13014,23732,24302
2014,2,17822,26094,27966
2014,3,19488,22483,22588
2014,4,19159,22121,22230
2014,5,22708,36369,26989
2014,6,23831,38564,31903
2014,7,24923,32434,30053
2014,8,24545,30036,30343
2014,9,27940,20304,29436
2014,10,32686,47125,30313
2014,11,31267,30323,25102
2014,12,27888,84237,89090
2015,1,18490,15679,24292
2015,2,24190,26292,16388
2015,3,28960,29391,25001
2015,4,27141,31720,26801
2015,5,28479,22677,21775
2015,6,28889,23997,26063
2015,7,25515,27831,22790
2015,8,26680,55932,41860
2015,9,23458,69060,63528
2015,10,23845,10311,33679
2015,11,23773,19076,9858
2015,12,22399,19233,15449
2016,1,15904,21662,13072
2016,2,22940,27122,19553
2016,3,23716,26095,20572
2016,4,24506,29091,19106
2016,5,24204,24616,18960
2016,6,25085,29574,21665
2016,7,21147,22256,21247
2016,8,24166,39536,35987
2016,9,22619,25850,25782
2016,10,21161,20382,16863
2016,11,19696,23892,19478
2016,12,18958,16336,14799
2017,1,12003,15131,13688
2017,2,15207,13349,16878
2017,3,17401,23565,18780
2017,4,14269,14483,13010
2017,5,18582,21881,19181
2017,6,22147,21406,16775
2017,7,18326,18238,20304
2017,8,19063,25121,22153
2017,9,19958,20378,18980
2017,10,19945,25459,19332
2017,11,21337,22125,18805
2017,12,18958,29064,20706
2018,1,12528,20187,23024
2018,2,15209,20433,17447
2018,3,17132,20223,17491
2018,4,17588,19353,22482
2018,5,19971,21652,16937
2018,6,18654,17594,18683
2018,7,17046,19745,17616
2018,8,19885,26568,18261
2018,9,18792,24148,16938
2018,10,19891,26002,17967
2018,11,18164,26733,16678
2018,12,15491,20340,12314
2019,1,10620,12729,12181
2019,2,12736,16794,13224
2019,3,16086,16673,16833
2019,4,14087,12489,13094
2019,5,15194,14188,15649
2019,6,14844,15589,15335
2019,7,14466,27537,28338
2019,8,15186,17840,11599
2019,9,16357,13169,13530
2019,10,16988,14612,14227
2019,11,18390,14547,13147
2019,12,16082,12875,11109
2020,1,10235,18248,14466
2020,2,12388,13566,13660
2020,3,16514,15352,13212
2020,4,10891,7127,4845
2020,5,10236,10653,7045
2020,6,11885,15241,15420
2020,7,12280,19225,17490
2020,8,12343,18461,16268
2020,9,14918,20315,14903
2020,10,13286,15245,15428
2020,11,13556,13687,13417
2020,12,12854,15929,14701
2021,1,16018,16724,13785
2021,2,12965,21044,16361
2021,3,15465,22126,18858
2021,4,12046,16324,16423
2021,5,14217,20328,15951
