year,month,cve_ent,cve_mun,organismo,modalidad,destcred,tipocred,gen,rangoedad,rangoingreso,valorvivi,acciones,monto
2021,1,19,21,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,9.01 a 12.00,Económica,1,"125,190.00"
2021,1,19,26,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,9.01 a 12.00,Económica,2,"99,591.00"
2021,1,28,27,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,9.01 a 12.00,Económica,1,"65,448.00"
2021,1,28,22,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,9.01 a 12.00,Económica,2,"235,090.00"
2021,1,9,14,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,9.01 a 12.00,Económica,1,"106,212.00"
2021,1,15,37,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,9.01 a 12.00,Económica,1,"125,190.00"
2021,1,10,7,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,9.01 a 12.00,Económica,1,"110,376.00"
2021,1,20,385,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,9.01 a 12.00,Económica,1,"50,000.00"
2021,1,25,6,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,9.01 a 12.00,Económica,2,"125,963.00"
2021,1,11,7,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,9.01 a 12.00,Económica,1,"125,190.00"
2021,1,28,41,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,9.01 a 12.00,Económica,1,"62,341.00"
2021,1,4,3,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,9.01 a 12.00,Económica,2,"250,380.00"
2021,1,32,56,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,9.01 a 12.00,Económica,1,"125,190.00"
2021,1,28,9,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,9.01 a 12.00,Económica,1,"79,972.00"
2021,1,8,19,BANCA (CNBV),Mejoramientos,Mejoramientos,Credito individual,Hombre,30 a 59,9.01 a 12.00,Económica,1,"80,380.00"
2021,1,30,204,BANCA (CNBV),Mejoramientos,Mejoramientos,Credito individual,Hombre,30 a 59,9.01 a 12.00,Económica,1,"131,975.00"
2021,1,26,55,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,9.01 a 12.00,Económica,1,"30,000.00"
2021,1,20,57,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,9.01 a 12.00,Económica,1,"70,160.00"
2021,1,19,18,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,9.01 a 12.00,Económica,1,"125,190.00"
2021,1,15,104,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Mujer,30 a 59,9.01 a 12.00,Económica,1,"103,372.00"
2021,1,15,29,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,1,"110,392.00"
2021,1,28,22,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,1,"59,790.00"
2021,1,19,46,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,1,"49,900.00"
2021,1,28,27,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,1,"34,023.00"
2021,1,15,48,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,2,"175,180.00"
2021,1,15,115,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,1,"28,887.00"
2021,1,21,19,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,1,"125,190.00"
2021,1,32,42,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,1,"75,422.00"
2021,1,9,7,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,1,"72,808.00"
2021,1,19,6,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,5,"427,319.00"
2021,1,15,42,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,1,"61,019.00"
2021,1,1,1,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,3,"253,626.00"
2021,1,8,37,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,3,"240,312.00"
2021,1,15,106,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,2,"182,860.00"
2021,1,15,33,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,2,"117,888.00"
2021,1,26,41,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,1,"50,000.00"
2021,1,26,30,BANCA (CNBV),Mejoramientos,Mejoramientos,Cofinanciamientos y subsidios,Hombre,30 a 59,6.01 a 9.00,Económica,1,"90,000.00"
