año,estado,mes,modalidad,cred,monto
2019,Aguascalientes,enero,Vivienda Nueva,22,16218569.31
,,,Vivienda Usada,12,7707999.72
,,febrero,Vivienda Nueva,44,25736356.03
,,,Vivienda Usada,12,8547985.78
,,marzo,Vivienda Nueva,65,35617751.31
,,,Vivienda Usada,20,13332563.82
,,abril,Vivienda Nueva,60,43649210.3
,,,Vivienda Usada,11,7671402.31
,,mayo,Vivienda Nueva,40,27424516.97
,,,Vivienda Usada,14,11056562.32
,,junio,Vivienda Nueva,43,34823564.14
,,,Vivienda Usada,20,13748093.58
,,julio,Vivienda Nueva,57,38414594.62
,,,Vivienda Usada,19,13490553.23
,,agosto,Vivienda Nueva,57,37503193.27
,,,Vivienda Usada,27,21403021.92
,,septiembre,Vivienda Nueva,43,26778999.78
,,,Vivienda Usada,28,17471984.18
,,octubre,Vivienda Nueva,57,36027688.51
,,,Vivienda Usada,46,29261060.53
,,noviembre,Vivienda Nueva,33,20523492.09
,,,Vivienda Usada,30,17540256.21
,,diciembre,Vivienda Nueva,44,24143210.4
,,,Vivienda Usada,16,10077906.43
,Baja California,enero,Vivienda Nueva,21,12589263.45
,,,Vivienda Usada,11,9477998.28
,,febrero,Vivienda Nueva,19,12903705.41
,,,Vivienda Usada,10,9704751.1
,,marzo,Vivienda Nueva,36,21860748.39
,,,Vivienda Usada,31,22596834.79
,,abril,Vivienda Nueva,20,11860959.78
,,,Vivienda Usada,19,13925030.92
,,mayo,Vivienda Nueva,45,32337288.51
,,,Vivienda Usada,41,33653103.12
,,junio,Vivienda Nueva,31,25018066.08
,,,Vivienda Usada,44,36566804.41
,,julio,Vivienda Nueva,37,29586000.29
,,,Vivienda Usada,22,17366538.28
,,agosto,Vivienda Nueva,35,28878426.57
,,,Vivienda Usada,26,19673068
,,septiembre,Vivienda Nueva,28,20833990.56
,,,Vivienda Usada,19,13140816.36
,,octubre,Vivienda Nueva,35,23789620.73
,,,Vivienda Usada,38,30224836.35
,,noviembre,Vivienda Nueva,29,20157292.26
,,,Vivienda Usada,34,23559965.37
,,diciembre,Vivienda Nueva,46,34472256.39
,,,Vivienda Usada,18,14422833.82
,Baja California Sur,enero,Vivienda Nueva,35,24047381.34
,,,Vivienda Usada,6,3857614.89
,,febrero,Vivienda Nueva,42,29102336.93
,,,Vivienda Usada,29,20388549.53
,,marzo,Vivienda Nueva,56,38069555.01
,,,Vivienda Usada,42,27288978.12
,,abril,Vivienda Nueva,34,22727660.43
,,,Vivienda Usada,24,16002935.63
,,mayo,Vivienda Nueva,23,15618512.14
,,,Vivienda Usada,31,22031220.31
,,junio,Vivienda Nueva,35,28654118.08
,,,Vivienda Usada,43,30639016.3
,,julio,Vivienda Nueva,43,34064563.55
,,,Vivienda Usada,25,17610592.5
,,agosto,Vivienda Nueva,46,32691622.04
,,,Vivienda Usada,26,18483989.81
,,septiembre,Vivienda Nueva,44,28726163.92
,,,Vivienda Usada,37,26261043.31
,,octubre,Vivienda Nueva,44,29586602.71
,,,Vivienda Usada,57,38631828.16
,,noviembre,Vivienda Nueva,18,9918448.22
,,,Vivienda Usada,41,24983524.37
,,diciembre,Vivienda Nueva,30,19205863.26
,,,Vivienda Usada,38,22442181.06
,Campeche,enero,Vivienda Nueva,1,1358000
,,,Vivienda Usada,7,6389418.03
,,febrero,Vivienda Nueva,3,2313362.5
,,,Vivienda Usada,20,13197446.41
,,marzo,Vivienda Nueva,9,5567720.14
,,,Vivienda Usada,42,29724223.46
,,abril,Vivienda Nueva,10,6687524.18
,,,Vivienda Usada,28,21256099.83
,,mayo,Vivienda Nueva,7,5619521.5
,,,Vivienda Usada,57,43839423.5
,,junio,Vivienda Nueva,13,9260244.43
,,,Vivienda Usada,48,39803562.35
,,julio,Vivienda Nueva,5,3743404.98
,,,Vivienda Usada,31,23864444.72
,,agosto,Vivienda Nueva,9,6035115.57
,,,Vivienda Usada,44,32631850.75
,,septiembre,Vivienda Nueva,4,2273255.99
,,,Vivienda Usada,37,27721746.72
,,octubre,Vivienda Nueva,8,6298730.18
,,,Vivienda Usada,55,41902542.14
,,noviembre,Vivienda Nueva,4,2923000
,,,Vivienda Usada,42,31877860.21
,,diciembre,Vivienda Nueva,9,6966831.29
,,,Vivienda Usada,26,17267637.82
,Chiapas,enero,Vivienda Nueva,29,18480496.61
,,,Vivienda Usada,39,26339765.66
,,febrero,Vivienda Nueva,44,24010291.46
,,,Vivienda Usada,99,72145584.18
,,marzo,Vivienda Nueva,42,24524189.59
,,,Vivienda Usada,187,125348197.9
,,abril,Vivienda Nueva,15,8319072.55
,,,Vivienda Usada,115,79905822.23
,,mayo,Vivienda Nueva,40,27055566.18
,,,Vivienda Usada,152,115188086.6
,,junio,Vivienda Nueva,32,20499194.82
,,,Vivienda Usada,196,149896487.1
,,julio,Vivienda Nueva,28,19914048.99
,,,Vivienda Usada,119,90878668.21
,,agosto,Vivienda Nueva,43,26385866.96
,,,Vivienda Usada,120,95569793.32
,,septiembre,Vivienda Nueva,52,33597522.32
,,,Vivienda Usada,121,91012694.54
,,octubre,Vivienda Nueva,44,28248447
,,,Vivienda Usada,143,104500162
,,noviembre,Vivienda Nueva,40,20857722.76
,,,Vivienda Usada,95,67712328.87
,,diciembre,Vivienda Nueva,60,32350121.38
,,,Vivienda Usada,131,94083766.01
,Chihuahua,enero,Vivienda Nueva,23,20470498.02
,,,Vivienda Usada,27,24595841.76
,,febrero,Vivienda Nueva,42,28604709.75
,,,Vivienda Usada,68,47939928.4
,,marzo,Vivienda Nueva,70,50419195.05
,,,Vivienda Usada,160,99123058.17
,,abril,Vivienda Nueva,52,37996478.38
,,,Vivienda Usada,124,87427345.93
,,mayo,Vivienda Nueva,53,47361776.24
,,,Vivienda Usada,125,93983212.34
,,junio,Vivienda Nueva,33,25212374.24
,,,Vivienda Usada,138,96454675.22
,,julio,Vivienda Nueva,43,35773371.41
,,,Vivienda Usada,69,48356273.37
,,agosto,Vivienda Nueva,53,46178320.97
,,,Vivienda Usada,109,78171554.28
,,septiembre,Vivienda Nueva,55,41453440.75
,,,Vivienda Usada,60,43849174.12
,,octubre,Vivienda Nueva,55,37977897.28
,,,Vivienda Usada,141,95978749.41
,,noviembre,Vivienda Nueva,22,17340411.1
,,,Vivienda Usada,98,65572285.65
,,diciembre,Vivienda Nueva,45,31292690.76
,,,Vivienda Usada,98,69263332.69
,Ciudad de México,enero,Vivienda Nueva,18,16139108.29
,,,Vivienda Usada,11,8469610.1
,,febrero,Vivienda Nueva,73,54217641.64
,,,Vivienda Usada,87,69397875.51
,,marzo,Vivienda Nueva,64,39371468.59
